Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Grid,Op Status,Coverage,Sponsor,Features,Web links,Coordination,Last update,Uplink Tone,Downlink Tone,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Links,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Notes,Nets,YSF Digital Enabled,DG-ID,WIRES-X,Local Network,On-air,Affiliate,EchoLink,IRLP,AllStar,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Feed,Talkgroups,Southern Colorado,Devilshead Local,Commands,Rocky Mountain Wide,Central Regional,Bandwidth,TAC 310,TAC 311,Colorado,Colorado Chat,Eastern Colorado,Talkgroup Network,Northern Colorado Regional,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Location Photo,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Worldwide,North America,English,Worldwide English,Wyoming,WyLOCAL,REACT,CO-Park County
448.95,-5,,,Black Forest,CO,OPEN,,SY,24.23,SSW,,08,17551,39.04850006,-104.7009964,448.95,443.95,yes,(B) Repeater,jfindu lookup / dstar-users lookup,El Paso,,,This repeater covers most of Black Forest and various areas of Monument and Colorado Springs,N0PKT,e-power,http://www.k0jsc.com,,2019-01-08,,,,,,,,,,,,,,Primarily on NXDN: All Nets carried on the K0JSC.COM Fun Machine system,yes,Open ↑ / Open ↓,,,Unknown,K0JSC,,,,yes,1,6.25,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,,24.95,NW,ON - IDLE,08,8741,39.62799835,-104.75800323,145.19,144.59,,,,Arapahoe,DM79OP,On-Air,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",N0OBA,Autopatch (please contact trustee).,,,2018-02-01,151.4,131.8,,,,,,,,,,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott","""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,,,,,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.315,0.6,CC,N0KEG,Centennial,CO,OPEN,,DS,27.31,NW,"Colorado Mega Reflector - XLX376 Transcoder - YSF 23160 - WiresX 40895 Welcome to the new and improved Colorado Mega Link! Brought to you by the Parker Radio Association, where we have fun, play radio and keep the squelch loose. Please join us Monday nights at 8pm mountain time our our digital net.",08,17676,39.58069992,-104.8769989,147.315,147.915,yes,N0KEG (C) Repeater,jfindu lookup / dstar-users lookup,Arapahoe,,,"Southeast metro Denver area. Parker, Centennial, SE Aurora, Elizabeth, Franktown, Castle Rock.",N0KEG,,https://www.parkerradio.org,,2019-11-27,,,,,,,,yes,1,310759,Brandmeister c Record retrieved from radioid.net,,,Monday 8pm. Colorado Link Digital Net. Repeater is used in DSTAR mode for this net.,,,,,Unknown,Parker Radio Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,,28.08,SW,,08,183,39.09170151,-104.87200165,447.725,442.725,,,,El Paso,,On-Air,Local.,K0NR,30,http://www.k0nr.com/wordpress/k0nr-repeater/,CCARC,2016-12-10,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, ~2 mi ENE USAFA North Gate",CO,OPEN,,,28.31,SW,,08,57,39.03020096,-104.7990036,448.8,443.8,,,,El Paso,DM79OA,On-Air,I-25 corridor from Baptist Rd south to Fort Carson,Pikes Peak FM Association (http://PPFMA.ORG),,PPFMA Repeaters,CCARC,2019-09-24,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,,28.76,WSW,ON - IDLE,08,8740,39.13600159,-104.92700195,145.19,144.59,,,,Douglas,DM79MD,On-Air,Wide area coverage at 8300,N0OBA Owner,,,,2018-10-25,131.8,131.8,,,,,,,,,,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,,,,,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,Y,29.66,SSW,,08,13790,38.93299866,-104.60900116,447.2,442.2,,,,El Paso,,Testing,"Falcon, Black Forest, Peyton Areas",GGARC,,,,2015-11-11,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,Garden of the Gods Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,S,30.39,NW,,08,8207,39.69670105,-104.80999756,449.15,444.15,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,Arapahoe,,On-Air,,Colorado Amateur Repeater Network (CARN),,,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,,32.72,WSW,ON - IDLE,08,83,39.17549896,-105.03399658,147.225,147.825,,,,Douglas,DM79LE,On-Air,Wide area,Colorado Repeater Association (CRA),Closed autopatch,Colorado Repeater Association,CCARC,2017-11-13,107.2,107.2,,,,,"Full-time to 145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",,,,,,,"CRA Net, Sunday 9AM",,,,,,CRA VHF Link System,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,,32.72,WSW,,08,16547,39.17549896,-105.03399658,448.425,443.425,,,,Douglas,,On-Air,Wide area 55 mi radius.,Colorado Repeater Association (CRA),E-Power,http://www.w0cra.org,CCARC,2020-02-11,107.2,107.2,,,,,"Full-time to 147.10500 (WA0DE) at Simla, CO .",,,,,,,,,,,,,ARESDEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
