Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Grid,Op Status,Coverage,Sponsor,Affiliate,Features,AllStar,Notes,Nets,Coordination,Last update,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Talkgroup Network,Talkgroups,Southern Colorado,Central Regional,Northern Colorado Regional,Web links,Links,Rocky Mountain Wide,IRLP,Commands,On-air,Feed,EchoLink,Devilshead Local,D-STAR Enabled,Node,Sources,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,YSF Digital Enabled,DG-ID,Bandwidth,Eastern Colorado,Location Photo,Local Network,WIRES-X,TAC 310,TAC 311,Colorado,Colorado Chat,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,North America,English,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,,44.41,W,,08,260,39.17610168,-106.82900238,447.05,442.05,136.5,136.5,Pitkin,,On-Air,Aspen-Snowmass areas.,Roaring Fork Amateur Repeater Cooperative,,,,,,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,N0SZ,Westcreek,CO,OPEN,,D,45.16,ESE,,08,15900,39.15250015,-105.16400146,446.875,441.875,,,Douglas,,On-Air,,W0VG,RMHAM,,,,,CCARC,2019-11-27,yes,6,310846,RMHAM c Record retrieved from radioid.net,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Full-Time Central Regional 2 720 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,2,,http://www.rmham.org,Full-time to the Colorado TRBO System .,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,,45.44,NE,,08,9580,39.71889877,-105.44000244,447.85,442.85,141.3,141.3,Clear Creek,,Off-Air,Wide area at 9500',AC0KQ,Rocky Mountain Ham Radio,AllStar node repeater providing wide area coverage along the Front Range,29571,,,CCARC,2019-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,,46.19,NE,,08,73,39.63330078,-105.31700134,145.34,144.74,103.5,127.3,Jefferson,,On-Air,Wide area.,Rocky Mtn Radio League,,E-power.,,,,CCARC,2019-08-15,,,,,,,,,,,Repeater,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,,46.19,E,,08,60,39.47029877,-105.19799805,447.5,442.5,88.5,88.5,Jefferson,DM79JL,On-Air,Wide area.,Aurora Repeater Association,,E-power.,,,,CCARC,2014-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC,N0SZ,"Evergreen, Squaw Mountain",CO,OPEN,,D,46.19,NE,,08,10932,39.63330078,-105.31700134,145.175,144.575,,,Clear Creek,DM79IP,On-Air,,Rocky Mountain Ham Radio,,700,,Voice ID is required for data/GPS/text on TG 705,,CCARC,2019-11-27,yes,7,310810,RMHR c Record retrieved from radioid.net,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,,47.47,NNE,,08,15582,39.88650131,-105.76300049,147.285,147.885,88.5,123,Grand,,On-Air,,Colorado Connection,,,,,,CCARC,2017-01-06,,,,,,,,,,,,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,D,47.6,ESE,,08,7193,39.26480103,-105.11399841,446.925,441.925,,,Douglas,DM79KG,On-Air,,,,,,See the website for programming info.,,CCARC,2019-11-27,yes,8,310817,RMHR c Record retrieved from radioid.net,,,"Open Talkgroup View Assignment TS TG Access Southern Colorado 1 719 Devilshead Local 2 711 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,,Rocky Mountain Ham Radio,Full-time to the Colorado TRBO System .,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,,47.6,ESE,,08,8190,39.26480103,-105.11399841,447.525,442.525,146.2,146.2,Douglas,DM79KG,On-Air,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",EmComm Colorado,Colorado ARES,,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,CCARC,2015-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,S,47.68,S,,08,9844,38.53469849,-105.99900055,446.975,441.975,,,Chaffee,,On-Air,,Crestone Amateur Radio Emergency Services,Crestone Amateur Radio Emergency Services,,,,,CCARC,2013-07-06,,,,,,,,,,,KD0QPG,,,,,,,,,yes,KD0QPG (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
