Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Features,Links,Nets,Coordination,Last update,DMR Enabled,Color Code,DMR ID,Wide Network,Affiliate,Web links,EchoLink,Notes,On-air,IRLP,AllStar,Talkgroup Network,Talkgroups,Southern Colorado,Central Regional,Northern Colorado Regional,Grid,Rocky Mountain Wide,Commands,Feed,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,IPSC Network,Local Network,YSF Digital Enabled,DG-ID,D-STAR Enabled,Node,Sources,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Devilshead Local,WIRES-X,Worldwide English,North America,DCI Bridge,Local/Cluster,Colorado,N. Colorado,Worldwide,English,TAC 310,Bandwidth,Eastern Colorado,Mountain Reg USA,Location Photo,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,TAC 311,Colorado Chat,Wyoming,WyLOCAL
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,,58.48,E,,08,3756,39.9473,-105.795,447.45,442.45,103.5,,Grand,On-Air,,W0IG,,,,CCARC,2013-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,,58.82,E,,08,15582,39.8865,-105.763,147.285,147.885,88.5,123,Grand,On-Air,,Colorado Connection,,Full-time to the Colorado Connection System .,,CCARC,2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,103.5,WC3W,Grand Lake,CO,OPEN,A,,65.83,NE,,08,18131,40.2392,-105.847,449.425,444.425,103.5,103.5,Clear Creek,On-Air,"Grand Lake, CO",,,,Sunday and Tuesday nights at 7 PM MT,,2019-09-21,,,,,,,,Linked to the Allstar Florida Hub,,,45202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,N0SZ,"Fairplay, Badger",CO,OPEN,,D,66.28,SE,,08,12698,39.0469,-105.87,446.7625,441.7625,,,Park,On-Air,,K7PFJ,,,,,2017-03-11,yes,0,,,RMHAM,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,,66.65,WSW,,08,253,39.4519,-108.052,449.8,444.8,107.2,,Garfield,On-Air,,,8,,,CCARC,2018-01-15,,,,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,,66.85,WSW,,08,36,39.2406,-107.961,449.5,444.5,107.2,,Mesa,Off-Air,,Grand Mesa Repeater Association (GMRA),E-power.,,,CCARC,2016-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,,68,SW,,08,8179,38.8683,-107.592,147.33,147.93,107.2,,Delta,On-Air,Wide area.,North Fork Repeater Assoc.,,,,CCARC,2016-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,,70.17,ESE,,08,95,39.7425,-105.514,449.05,444.05,107.2,107.2,Denver,On-Air,Wide area.,WG0N,E-power.,,,CCARC,2012-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,,70.48,NNW,,08,15577,40.51520157,-107.54599762,146.97,146.37,88.5,123,Moffat,On-Air,,Northwest Colorado Amateur Radio Association,,Full-time to the Colorado Connection System .,,CCARC,2017-01-06,,,,,Colorado Connection,,,,,,,,,,,,DN60FM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,107.2,WD0HAM,Craig,CO,OPEN,,,70.48,NNW,,08,3740,40.5152,-107.546,145.265,144.665,107.2,,Moffat,,,NW Colorado ARC,E-power.,,,CCARC,2012-11-12,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
