Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,YSF Digital Enabled,DG-ID,WIRES-X,County,Grid,Op Status,Coverage,Sponsor,Features,Coordination,Last update,Uplink Tone,EchoLink,IRLP,Notes,Downlink Tone,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Web links,Links,Nets,Bandwidth,AllStar,Talkgroups,Rocky Mountain Wide,Central Regional,Affiliate,Mixed-Mode,On-air,Commands,Local/Cluster,Colorado,REACT,CO-Park County,Northern Colorado Regional,D-STAR Enabled,Node,Sources,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Feed,P-25 Digital Enabled,NAC,Default Reflector,Southern Colorado,TAC 310,TAC 311,Colorado Chat,Local Network,Eastern Colorado,Devilshead Local,Location Photo,Talkgroup Network,Local or Reflector,Kansas,CKRG,KansasLink,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,DCI Bridge,N. Colorado,Mountain Reg USA,Worldwide English,North America,Worldwide,English,BYRG
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,,140.28,WNW,,08,274,39.55799866,-104.79399872,448.7,443.7,,,,Douglas,,On-Air,Local North Parker only,,,,2018-09-07,146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,,WK0DX,Plains,KS,OPEN,,,140.83,SE,,20,3996,37.29330063,-100.63999939,147.18,147.78,,,,Meade,DM97QH,On-Air,Local,WK0DX,,Kansas Repeater Council,2014-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,,140.92,WNW,,08,8189,39.49420166,-104.83599854,447.525,442.525,,,,Douglas,DM79NL,On-Air,"Denver metropolitan area, front range foothills",EmComm Colorado,,CCARC,2017-03-11,203.5,,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",146.2,,,,,,,,,,,,,,Colorado ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,,142.21,W,,08,8178,38.77249908,-104.99299622,147.18,147.78,,,,El Paso,DM78MS,On-Air,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",AA0SP,E-power (solar).,CCARC,2017-03-09,100,,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,D,142.21,W,,08,5220,38.77259827,-104.99299622,446.95,441.95,,,,Teller,,On-Air,Monument Hill through Pueblo.,Rocky Mountain Ham Radio,,,2019-11-27,,,,,,yes,7,310816,RMHR c Record retrieved from radioid.net,,,"Full-time to 446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,RMHAM,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
145.235,-0.6,CC,N0SZ,"Colorado Springs, Almagre Mountain",CO,OPEN,,D,142.21,W,,08,17250,38.77199936,-104.99299622,145.235,144.635,,,,El Paso,DM78MS,On-Air,Wide area,RMHAM,,CCARC,2019-11-27,,,,Voice ID is required for data/GPS/text on TG 705,,yes,7,310824,c Record retrieved from radioid.net,,Rocky Mountain Ham Radio,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Eastern Colorado 2 705 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
927.725,-25.7,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,,142.21,W,,08,58,38.77259827,-104.99299622,927.725,902.025,,,,Teller,,On-Air,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. 50 mi radius. Repeater Coverage Map",WA6IFI,12,CCARC,2020-01-01,,,,,,,,,,,Yahoo Group,Full-time to the The 900 P25 Network System .,,,,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
444.5,5,141.3,K0ECT,Jetmore,KS,OPEN,,,142.99,SE,,20,4107,38.0533,-99.8996,444.5,449.5,,,,Hodgeman,,On-Air,,SKECT,E-power,Kansas Repeater Council,2019-03-08,141.3,,,,141.3,,,,,,http://skect.org/default.aspx,Full-time to the SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.35,5,123,KY0J,Dodge City,KS,OPEN,EA,,143.85,SE,Node Offline,20,17688,37.75239944,-100.07700348,443.35,448.35,,,,Ford,DM97XS,On-Air,20,KY0J,,Kansas Repeater Council,2019-03-18,123,6891,,,123,,,,,,,,,,27140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.5,5,141.3,WK0DX,Plains,KS,OPEN,,,144.25,SE,,20,11458,37.2603,-100.593,443.5,448.5,,,,Meade,,On-Air,Wide Area,WK0DX,,Kansas Repeater Council,2016-11-19,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.805,-0.6,103.5,W0KKS,Liberal,KS,OPEN,,,144.33,SSE,,20,3949,37.0597,-100.93,146.805,146.205,,,,Seward,,On-Air,Local,Southern Plains ARC,Autopatch,Kansas Repeater Council,2018-03-30,103.5,,,,103.5,,,,,,http://spark-ks.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.1,5,141.3,K0ECT,Liberal,KS,OPEN,,,144.37,SSE,,20,4064,37.05899811,-100.93000031,443.1,448.1,,,,Seward,DM97MB,On-Air,Local,SPARK,Autopatch,Kansas Repeater Council,2019-05-07,141.3,,,,,,,,,,http://skect.org/default.aspx,Full-time to the SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,,144.63,W,,08,44,38.84000015,-105.04000092,146.97,146.37,,,,El Paso,DM78LU,On-Air,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",Pikes Peak FM Assoc,e-power.,CCARC,2019-11-11,100,,,,,,,,,,PPFMA Repeaters,"Linkable to 448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",listed on http://ppfma.org,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,,144.63,W,,08,54,38.84000015,-105.04000092,448.45,443.45,,,,El Paso,DM78LU,On-Air,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",Pikes Pk FM Assoc,E-power.,CCARC,2019-03-07,100,,,,,,,,,,PPFMA Repeaters,"Linkable to 146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",see http://www.ppfma.org,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,WE0FUN,"Denver, Green Valley Ranch",CO,OPEN,EA,,144.69,WNW,Node Offline,08,9765,39.79669952,-104.7480011,448.15,443.15,,,,Denver,DM79pt,On-Air,Small coverage of the East Denver area SW of DIA. Repeater Coverage Map,K0GUR,E-power (batt). 2 meter and 70cm channel steerable remote bases.,CCARC,2019-08-22,141.3,24340,,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list. The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,141.3,,,,,,k0jsc.com,Full-time to the The Fun Machine System .,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,,29436,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,S,144.69,WNW,,08,8207,39.69670105,-104.80999756,449.15,444.15,,,,Arapahoe,,On-Air,,Colorado Amateur Repeater Network (CARN),,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.35,0.6,88.5,,Boise City,OK,OPEN,,,144.82,S,,40,3790,36.7294,-102.513,147.35,147.95,,,,Cimarron,,On-Air,"Provides linked coverage to SW KS, OK Panhandle, and the TEXAS panhandle.",CAPROCK / DUST BOWL INTERTIE,,,2016-05-03,88.5,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.315,0.6,CC,N0KEG,Centennial,CO,OPEN,,DS,144.97,WNW,"Colorado Mega Reflector - XLX376 Transcoder - YSF 23160 - WiresX 40895 Welcome to the new and improved Colorado Mega Link! Brought to you by the Parker Radio Association, where we have fun, play radio and keep the squelch loose. Please join us Monday nights at 8pm mountain time our our digital net.",08,17676,39.58069992,-104.8769989,147.315,147.915,,,,Arapahoe,,,"Southeast metro Denver area. Parker, Centennial, SE Aurora, Elizabeth, Franktown, Castle Rock.",N0KEG,,,2019-11-27,,,,,,yes,1,310759,Brandmeister c Record retrieved from radioid.net,,https://www.parkerradio.org,,Monday 8pm. Colorado Link Digital Net. Repeater is used in DSTAR mode for this net.,,,,,,Parker Radio Association,,Unknown,,,,,,,yes,N0KEG (C) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,,145.15,W,,08,9503,38.9878006,-105.04399872,449.325,444.325,,,,Teller,DM78LX,On-Air,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Melbourne, Florida can be expected.",KA4EPS,E-power. Allstar Node 27976,CCARC,2019-04-01,103.5,,,Node # 27976,103.5,,,,,,http://www.ka4eps.com,,Sunday 1900 MST Tuesday 1900 MST,,27976,,,,Amateur Radio Motorcycle Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.675,5,162.2,K0HAM,"Dodge City, K-Link",KS,OPEN,A,,145.32,SE,,20,11669,37.766,-100.035,443.675,448.675,,,,Ford,,On-Air,Click for coverage map. 45 mi radius.,"NV8Q, WV0S",Linked to K-Link Repeater Network. AllStar 46012.,Kansas Repeater Council,2019-02-16,162.2,,,,162.2,,,,,,K-Link Repeater Network,Full-time to the K-Link System .,,,46012,,,,Affiliate of the K-Link Repeater Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,,145.82,W,,08,249,38.9939003,-105.05599976,145.415,144.815,,,,Teller,,,,MARC,"Closed autopatch, e-power.",CCARC,2012-11-12,179.9,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,,145.82,W,,08,252,38.9939003,-105.05599976,449.025,444.025,,,,Teller,,,,Mountain Amateur Radio Club (MARC),Linked.,CCARC,2012-11-10,141.3,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,,145.82,W,,08,250,38.9939003,-105.05599976,146.82,146.22,,,,Teller,,On-Air,,Mountain ARC,E-power.,CCARC,2016-11-17,107.2,,,,,,,,,,,"Full-time to 146.68500 (NX0G) at Lake George, Badger Mountain, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 447.47500 (NX0G) at Colorado Springs, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,,145.82,W,,08,251,38.9939003,-105.05599976,448.65,443.65,,,,Teller,,On-Air,,Mountain ARC (MARC),E-power.,CCARC,2016-11-17,107.2,,,,,,,,,,,"Full-time to 146.68500 (NX0G) at Lake George, Badger Mountain, CO . Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 447.47500 (NX0G) at Colorado Springs, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",MARC/PCRC: Tue at 19:30.,,,,,,MARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,,145.87,W,,08,8193,38.9939003,-105.05699921,447.675,442.675,,,,Teller,,On-Air,,Mountain Amateur Radio Club (MARC),E-power.,CCARC,2014-05-22,179.9,,,,179.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,,145.87,W,,08,3750,38.99380112,-105.05699921,927.9,902.9,,,,Teller,,On-Air,,MARC,,CCARC,2012-11-10,D205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,,146.02,W,,08,15903,39.17490005,-105.03399658,449.975,444.975,,,,Douglas,,On-Air,,K0JSC,Simulcast and Voted with Cedarwood and Methodist.,CCARC,2017-04-21,100,,,"Can be linked to Allstar, Echolink and others by a Sysop",100,,,,,,The Fun Machine,Full-time to the The Fun Machine System .,,,,,,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,,146.03,W,ON - IDLE,08,83,39.17549896,-105.03399658,147.225,147.825,,,,Douglas,DM79LE,On-Air,Wide area,Colorado Repeater Association (CRA),Closed autopatch,CCARC,2017-11-13,107.2,347086,3990,,107.2,,,,,,Colorado Repeater Association,"Full-time to 145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .","CRA Net, Sunday 9AM",,,,,,CRA VHF Link System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,,146.03,W,,08,16547,39.17549896,-105.03399658,448.425,443.425,,,,Douglas,,On-Air,Wide area 55 mi radius.,Colorado Repeater Association (CRA),E-Power,CCARC,2020-02-11,107.2,,,,107.2,,,,,,http://www.w0cra.org,"Full-time to 147.10500 (WA0DE) at Simla, CO .",,,,,,,ARESDEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,123,K0ECT,Dodge City,KS,OPEN,,,146.63,SE,,20,3974,37.7528,-100.017,147.03,147.63,,,,Ford,,On-Air,,SKECT,Autopatch,,2019-09-02,123,,,,,,,,,,,,RACES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,123,K0ECT,Dodge City,KS,OPEN,,,146.63,SE,,20,4041,37.75279999,-100.01699829,442.375,447.375,,,,Ford,,On-Air,US-50,,Autopatch.,Kansas Repeater Council,2019-09-02,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,,146.64,WNW,,08,92,39.72940063,-104.83100128,448.5,443.5,,,,Denver,,On-Air,Greater Denver area.,Castle Rock Repeater Group,E-power.,CCARC,2017-03-11,100,,,,,,,,,,,"Full-time to 145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,,146.69,WNW,,08,8202,39.72940063,-104.83200073,448.4,443.4,,,,Arapahoe,,On-Air,,,,CCARC,2012-11-12,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,,146.69,WNW,,08,8199,39.72940063,-104.83200073,448.275,443.275,,,,Arapahoe,,On-Air,,W0BG,,CCARC,2013-01-05,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,Aurora,CO,OPEN,,,146.69,WNW,,08,8743,39.72940063,-104.83200073,449.95,444.95,,,,Arapahoe,,On-Air,Primarily to the North along I-25 corridor,W9SL Owner,,CCARC,2019-08-23,77,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,Y,146.69,WNW,,08,16032,39.72940063,-104.83200073,448.825,443.825,yes,Open ↑ / Open ↓,30584,Arapahoe,,On-Air,,,,,2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,K0EB,Hudson,CO,OPEN,EI,,147.61,NW,Node Offline,08,8216,40.02019882,-104.64199829,449.925,444.925,,,,Weld,DN70,On-Air,,K0EB,,CCARC,2018-12-01,114.8,448035,8035,,114.8,,,,,,,,,,,,,,K0UPS Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,,150.41,WNW,,08,9771,40.00719833,-104.71600342,447.625,442.625,,,,Adams,,On-Air,Local/North Metro,Intermountain Repeater Group,,,2015-05-23,100,,,,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,D,151.3,WNW,,08,7193,39.26480103,-105.11399841,446.925,441.925,,,,Douglas,DM79KG,On-Air,,,,CCARC,2019-11-27,,,,See the website for programming info.,,yes,8,310817,RMHR c Record retrieved from radioid.net,,Rocky Mountain Ham Radio,Full-time to the Colorado TRBO System .,,,,"Open Talkgroup View Assignment TS TG Access Southern Colorado 1 719 Devilshead Local 2 711 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,,151.3,WNW,,08,8190,39.26480103,-105.11399841,447.525,442.525,,,,Douglas,DM79KG,On-Air,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",EmComm Colorado,,CCARC,2015-06-17,146.2,,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",146.2,,,,,,,,,,,,,,Colorado ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,,152.24,W,,08,65,38.7466,-105.178,147.015,147.615,,,,Teller,,On-Air,,Mountain ARC,E-power.,CCARC,2016-11-17,107.2,,,,,,,,,,,"Full-time to 146.68500 (NX0G) at Lake George, Badger Mountain, CO . Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 447.47500 (NX0G) at Colorado Springs, CO .",MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,,152.24,W,,08,64,38.7466011,-105.1780014,145.46,144.86,,,,Teller,,On-Air,,WB0WDF,"E-power, 100% Solar",CCARC,2012-06-15,67,,,,,,,,,,,,,,,,,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,,152.24,W,,08,7203,38.7466,-105.178,224.94,223.34,,,,Teller,,Testing,,,,CCARC,2012-06-18,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,,152.24,W,,08,66,38.7467,-105.178,447.4,442.4,,,,Teller,,On-Air,,WB0WDF,"E-power, Solar, Remote Base",CCARC,2012-06-15,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,,152.24,W,,08,67,38.7466,-105.178,1287.7,1267.7,,,,Teller,,Testing,,WB0WDF,,CCARC,2012-06-18,67,,,Testing in Canon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,N0SZ,Westcreek,CO,OPEN,,D,152.69,W,,08,15900,39.15250015,-105.16400146,446.875,441.875,,,,Douglas,,On-Air,,W0VG,,CCARC,2019-11-27,,,,,,yes,6,310846,RMHAM c Record retrieved from radioid.net,,http://www.rmham.org,Full-time to the Colorado TRBO System .,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Full-Time Central Regional 2 720 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,RMHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,,154.34,WNW,,08,75,39.73920059,-104.98400116,145.475,144.875,,,,Jefferson,,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,E-power.,CCARC,2015-05-22,100,,,,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,,154.34,WNW,,08,79,39.73920059,-104.98400116,146.715,146.115,,,,Denver,,On-Air,,EARS,E-power.,CCARC,2017-04-09,123,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,,154.34,WNW,,08,91,39.73920059,-104.98400116,448.075,443.075,,,,Denver,,On-Air,,W0IG,,CCARC,2017-03-11,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,,154.34,WNW,,08,93,39.73920059,-104.98400116,448.55,443.55,,,,Denver,,Off-Air,,HPRA,E-power.,CCARC,2017-03-11,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,,154.35,WNW,,08,8196,39.73759842,-104.98500061,447.925,442.925,,,,Denver,,On-Air,,RADOPS El Jebel Shriners,,CCARC,2014-07-03,100,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,,154.35,WNW,,08,8195,39.73759842,-104.98500061,447.9,442.9,,,,Denver,,Off-Air,,WB0TPT,,CCARC,2017-03-11,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,S,154.35,WNW,,08,8212,39.73759842,-104.98500061,449.65,444.65,,,,Denver,,On-Air,,Colorado Amateur Repeater Network (CARN),,CCARC,2012-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,S,154.35,WNW,,08,8213,39.73759842,-104.98500061,449.675,444.675,,,,Denver,,On-Air,,Colorado Amateur Repeater Network (CARN),,CCARC,2012-11-16,,,7708,,,,,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,,154.43,WNW,Node Offline,08,8739,40.02759933,-104.78900146,447.3,442.3,,,,Weld,,On-Air,,,,CCARC,2013-01-07,107.2,405804,3887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.975,5,88.5,N5DFQ,Guymon,OK,OPEN,,,154.66,SSE,,40,4419,36.6758,-101.547,444.975,449.975,,,,Texas,,On-Air,30,DBARC,Linked.,ORSI,2014-07-07,88.5,,,,,,,,,,http://caprockintertie.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
