Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Features,Coordination,Last update,Sponsor,Coverage,Web links,Links,Affiliate,IRLP,Notes,Nets,DMR Enabled,Color Code,Wide Network,On-air,Commands,EchoLink,DMR ID,AllStar,D-STAR Enabled,Node,Sources,Grid,Talkgroups,Rocky Mountain Wide,Southern Colorado,P-25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Central Regional,Northern Colorado Regional,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Location Photo,Feed,Bandwidth,Eastern Colorado,Devilshead Local,YSF Digital Enabled,DG-ID,IPSC Network,Mixed-Mode,TAC 311,Colorado,Colorado Chat,Local Network,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,,79.77,NNE,,08,8192,39.5505,-107.325,447.6,442.6,,,Garfield,,50,CCARC,2012-11-12,Ski Country ARC (SCARC),40,,"Full-time to 146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",,,Link Hub for 146.880.,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,,79.77,NNE,,08,13637,39.5505,-107.325,449.85,444.85,131.8,131.8,Garfield,On-Air,e-power Linked to GMRA Open System,CCARC,2018-01-15,,Glenwood Springs,http://GMRA.org,Full-time to the GMRA Open System .,Grand Mesa Repeater Assoc,,RACES net Wed 1930 Hrs Local,Colorado State RACES Wed 1930 local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,,79.8,NNE,Node Offline,08,131,39.5506,-107.324,147.3,147.9,107.2,,Garfield,Off-Air,8,CCARC,2012-11-10,Roaring Fork Amateur Repeater Cooperative,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",,,,,Single beep courtesy tone when linked and none when unlinked.,,,,,,,266359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,N5UBJ,"Mancos, Caviness Mountain",CO,OPEN,,D,81.48,SSW,,08,15895,37.345,-108.289,446.7375,441.7375,,,Montezuma,On-Air,,CCARC,2018-09-27,RMHAM,,http://www.rmham.org,,,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,yes,6,,,,,310826,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 1 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,,,81.84,S,,08,8169,37.3,-108.028,145.37,144.77,100,100,La Plata,On-Air,E-power.,CCARC,2018-01-15,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,,,82.16,SSW,,08,8168,37.326,-108.248,145.325,144.725,100,,Montezuma,On-Air,E-power.,CCARC,2018-01-15,,Wide area.,http://www.sjcham.com,,,,Full time to the San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,Maysville,CO,OPEN,,,82.82,ESE,,08,16739,38.5063,-106.345,145.325,144.725,100,,Chaffee,On-Air,,,2019-09-04,Chaffee Lake Amateur Repeater Association,wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,K0EP,Durango,CO,OPEN,,,83.12,S,,08,11546,37.2753,-107.88,449.85,444.85,100,100,La Plata,On-Air,,CCARC,2018-09-26,DARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,,83.12,S,,08,115,37.2753,-107.879,448.625,443.625,131.8,131.8,La Plata,On-Air,,CCARC,2018-09-26,KC5EVE,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,,84.05,S,,08,11545,37.2622,-107.906,147.135,147.735,100,100,La Plata,On-Air,,CCARC,2018-01-15,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,127.3,KD5LWU,"Cortez, Downtown",CO,OPEN,EA,,87.08,SSW,Node Offline,08,61,37.3489,-108.585,146.79,146.19,127.3,127.3,Montezuma,On-Air,,CCARC,2015-04-30,KD5LWU,,,,,,,4,,,,,,24336,,29317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.175,-5,127.3,KD5LWU,Cortez,CO,OPEN,E,,87.08,SSW,Node Offline,08,62,37.3489,-108.585,449.175,444.175,127.3,,Montezuma,Off-Air,,CCARC,2014-06-30,KD5LWU,,,,,,,,,,,,,24336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.9,-0.6,88.5,K7QEQ,Moab,UT,OPEN,,,90.68,W,,49,48,38.5739,-109.549,146.9,146.3,88.5,,Grand,On-Air,"Closed autopatch, remote base, linked to Bald Mesa (146.760).",UVHFS,2015-03-29,Sinbad Desert ARC,Moab and immediate surroundings.,http://sdarc.us/repeaters/moab.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,,91.95,ESE,,08,184,38.7129,-106.2,146.745,146.145,100,,Chaffee,On-Air,E-power.,CCARC,2019-07-21,CLARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,,,95.13,S,,08,8177,37.115,-107.633,147.15,147.75,100,,La Plata,On-Air,E-power.,CCARC,2018-01-16,,Bayfield,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,107.2,KB0SW,"Loma, Baxter Pass",CO,OPEN,,,95.66,NW,,08,174,39.5819,-108.952,447,442,107.2,,Garfield,On-Air,8,CCARC,2018-01-15,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.94,-1.6,,K7QEQ,"Monticello, Abajo Pk",UT,CLOSED,,,96.82,WSW,,49,49,37.8392,-109.462,223.94,222.34,,,San Juan,,11,UVHFS,,Grand Mesa Rptr Assoc,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,K7QEQ,"Monticello, Abajo Peak",UT,OPEN,,,96.82,WSW,,49,124,37.8392,-109.462,447.1,442.1,107.2,107.2,San Juan,On-Air,E-power.,UVHFS,2017-04-07,Grand Mesa Repeater Association (GMRA),Wide area.,http://gmra.org,Full-time to the GMRA Open System .,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,,K7QEQ,"Monticello, Abajo Peak",UT,CLOSED,,,96.82,WSW,,49,50,37.8392,-109.462,447.4,442.4,,,San Juan,,11,UVHFS,,,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",,,Cactus-Intertie,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,88.5,K7SDC,"Monticello, Abajo Peak",UT,OPEN,EI,,96.82,WSW,ON - IDLE,49,60,37.8392,-109.462,146.61,146.01,88.5,,San Juan,On-Air,Remote base.,UVHFS,2017-04-07,Sinbad Desert ARC,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",http://www.sdarc.us/repeaters/abajo.html,,,3270,11.36,,,,,,,64264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Monticello, Abajo Peak",UT,OPEN,,,96.87,WSW,,49,18460,37.83940125,-109.46299744,447.275,442.275,100,,Wayne,On-Air,,,2020-01-13,San Juan Connection,,http://www.sjcham.com,Full-time to the SAN JUAN CONNECTION System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0JSP,"Pagosa Springs, Oakbrush Hill",CO,OPEN,,,98.39,SSE,,08,188,37.193,-107.1,146.61,146.01,123,,Archuleta,On-Air,,CCARC,2018-01-15,,,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,,100.51,E,,08,10827,39.2508,-106.293,147.24,147.84,156.7,156.7,Lake,On-Air,,CCARC,2019-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,,100.54,ESE,,08,205,38.4528,-106.018,449.65,444.65,107.2,,Chaffee,On-Air,E-power.,CCARC,2018-01-15,,Wide area.,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,,100.54,ESE,,08,3811,38.4528,-106.018,449.925,444.925,103.5,103.5,Chaffee,On-Air,E-power (Bat),CCARC,2013-07-05,,"Upper Arkansas and Platte Rivers, and the SLV",,,Colorado ARES,,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,,100.9,ESE,,08,204,38.4596,-106.011,147.285,147.885,88.5,123,Chaffee,On-Air,11,CCARC,2016-05-23,Colorado Connection,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",,Full-time to the Colorado Connection System .,,,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES Net: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,,100.9,ESE,,08,203,38.4596,-106.011,145.295,144.695,107.2,,Chaffee,On-Air,,CCARC,2019-08-15,Cheyenne Mtn Repeater Group,Wide area.,CMRG Repeaters,,,,,,,,,,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,,100.93,ESE,ON - IDLE,08,13510,38.4463,-106.011,449.975,444.975,100,100,Chaffee,On-Air,2,CCARC,2017-03-11,,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,K0JSC.COM,Full-time to the The Fun Machine System .,,7301,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,,,,,,363976,,28368,,,,DM68xk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8625,-25.8,,WA6IFI,"Salida, Methodist Mountain",CO,OPEN,,,100.98,ESE,,08,18425,38.44670105,-106.01000214,927.8625,902.025,,,Chaffee,On-Air,,CCARC,2020-01-01,CMRG,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,Full-time to the The 900 P25 Network System .,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,S,101.57,ESE,,08,9844,38.5347,-105.999,446.975,441.975,,,Chaffee,On-Air,,CCARC,2013-07-06,Crestone Amateur Radio Emergency Services,,KD0QPG,,Crestone Amateur Radio Emergency Services,,,,,,,,,,,,yes,KD0QPG (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,D,101.57,ESE,,08,12697,38.5347,-105.999,446.8125,441.8125,,,Chaffee,On-Air,,,2015-01-13,RMHAM,,,,,,,,yes,0,,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,,105.61,S,,35,16667,36.95,-107.85,147.06,147.66,100,,San Juan,On-Air,,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,D,106.12,E,,08,16783,39.2653,-106.182,445.05,440.05,,,Lake,On-Air,,CCARC,2018-07-07,K2AD,,http://www.rmham.org/,,Rocky Mountain Ham Radio,,,,yes,7,,,,,310852,,,,,,"Open Talkgroup View Assignment TS TG Access Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,2,,,,RMHAM,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,,106.5,E,,08,172,39.2814,-106.186,145.445,144.845,88.5,,Lake,On-Air,E-power (solar).,CCARC,2019-08-16,Colorado Connection,,,Full-time to the Colorado Connection System .,,,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,,108.15,SE,,08,16645,37.75,-106.115,447.1,442.1,77,,Saguache,On-Air,,,2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,,108.34,SE,,08,14200,37.7531,-106.109,146.64,146.04,77,77,Rio Grande,On-Air,,,2016-12-25,,Low level local coverage,,,,,,,,,,,,,,28781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,,108.48,E,,08,9840,38.8833,-105.933,448.575,443.575,103.5,103.5,Park,Off-Air,,CCARC,2017-11-22,,Western Park County,,"Full-time internet linked to 146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,AA0BF,"Fairplay, Sacramento Mountain",CO,OPEN,A,,108.74,E,,08,5336,39.21,-106.087,447.125,442.125,103.5,103.5,Park,On-Air,Emergency automatic generator.,CCARC,2019-03-08,AA0BF,"Covers Fairplay, Alma, and western South Park.",,,"Park County Radio Club, AB0PC",,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.","When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",,,,,,,,45840,,,,DM69wf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC,N0SZ,Vail,CO,OPEN,,D,110.74,NE,,08,16781,39.6348,-106.447,445.075,440.075,,,Eagle,On-Air,,CCARC,2018-02-01,K2AD,,http://www.rmham.org/,,Rocky Mountain Ham Radio,,,,yes,7,,,,,310851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,,111.4,NE,,08,241,39.6554,-106.457,147.345,147.945,88.5,123,Eagle,On-Air,9,CCARC,2017-01-06,Colorado Connection,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass. Map,,Full-time to the Colorado Connection System .,,,,Central Colorado Traffic Net: Daily at 19:3030 Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES net: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,,112.81,NE,,08,256,39.6061,-106.356,146.61,146.01,107.2,,Eagle,On-Air,11,CCARC,2012-11-10,ECHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,94.8,K0SLV,Monte Vista,CO,OPEN,,,113.33,SE,,08,18580,37.58418274,-106.13030243,449.625,444.625,94.8,,Rio Grande,On-Air,Emergency Power,,2020-03-11,S.A.R.A.,,http://K0SLV.COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,,113.76,NE,,08,242,39.6403,-106.374,224.8,223.2,,,Eagle,Off-Air,,CCARC,2018-06-02,ECHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,,113.76,NE,,08,243,39.6403,-106.374,449.9,444.9,107.2,107.2,Eagle,Off-Air,,CCARC,,ECHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,,114.61,S,,35,15629,36.8222,-107.993,146.88,146.28,100,,San Juan,On-Air,,NMFCC,2018-01-15,,,http://www.sjcham.com,Full-time to the San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,,,114.61,S,,35,44,36.8222,-107.992,447.45,442.45,107.2,,San Juan,On-Air,"E-power, remote base.",NMFCC,2017-07-19,KB5ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC,N5UBJ,Aztec,NM,OPEN,,D,114.61,S,2,35,12413,36.8222,-107.993,442.25,447.25,,,San Juan,On-Air,,NMFCC,2018-01-21,,,http://www.aztrbonet.com/MinimalNetwatch,,,,,,yes,1,,,,,313502,,,,,,"Open Talkgroup View Assignment TS TG Access Worldwide 1 1 PTT North America 1 3 PTT English 1 13 Full-Time 2 Full-Time Europe 2 2 Full-Time TAC 310 2 310 PTT DCI Bridge 2 3100 PTT Southwest USA 2 3176 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,AZ-TrboNet,,,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,,114.61,S,,35,43,36.8222,-107.992,146.74,146.14,100,,San Juan,On-Air,"Closed autopatch, e-power.",NMFCC,2017-07-19,Totah ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,N0SZ,"Fairplay, Badger",CO,OPEN,,D,115,E,,08,12698,39.0469,-105.87,446.7625,441.7625,,,Park,On-Air,,,2017-03-11,K7PFJ,,,,RMHAM,,,,yes,0,,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,KB5ITS,"Aztec, Hottel Hill",NM,OPEN,,,115.74,S,,35,18461,36.80630112,-108.0019989,146.61,146.01,100,,Taos,On-Air,,,2020-01-13,San Juan Connection,,http://www.sjcham.com,,,,Linked to San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,KB5ITS,"Navajo Dam, Navajo Lake",NM,OPEN,,,116.81,S,,35,15644,36.8,-107.62,147.36,147.96,100,,San Juan,On-Air,,NMFCC,2018-01-15,,,http://www.sjcham.com,Full-time to the San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,136.5,NM5SJ,Dulce,NM,OPEN,,,117.01,SSE,,35,15624,36.9336,-106.999,145.43,144.83,136.5,,Rio Arriba,On-Air,,NMFCC,2017-08-25,SJC EMCOMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.1,-20,,KF5VBE,Aztec,NM,CLOSED,,S,117.35,S,,35,16280,36.7823,-107.988,1291.1,1271.1,,,San Juan,On-Air,DV only,NMFCC,2019-05-12,San Juan County,,,,,,,,,,,,,,,,yes,KF5VBE (A) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,,KF5VBE,Farmington,NM,OPEN,,S,117.4,S,,35,11428,36.7817,-107.99,145.115,144.515,,,San Juan,On-Air,,,2018-01-29,,,,,,,,,,,,,,,,,yes,KF5VBE (C) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,,120.64,NE,,08,23,39.4817,-106.038,146.7,146.1,107.2,,Summit,On-Air,E-power.,CCARC,2013-01-07,GRARC,,,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2625,-5,CC,N0SZ,"Rangely, Cathedral Bluffs",CO,OPEN,,D,121.79,NNW,,08,17249,40.0875,-108.805,445.2625,440.2625,,,Rio Blanco,On-Air,,,2018-10-25,RMHAM,,https://www.rmham.org,,,,,,yes,7,,,,,310154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,100,K5WXI,Bloomfield,NM,OPEN,,,122.25,S,,35,50,36.7111,-107.984,146.92,146.32,100,,San Juan,On-Air,,NMFCC,2017-08-25,San Juan County OEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,,,122.25,S,,35,16636,36.7111,-107.985,448.65,443.65,127.3,,San Juan,On-Air,,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,,122.26,E,,08,24,39.4439,-105.969,147.39,147.99,88.5,123,Summit,On-Air,12,CCARC,2015-01-30,Colorado Connection,Wide area.,Breckenridge Repeater,Full-time to the Colorado Connection System .,,,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-. This machine has a split tone, 88.5 rx and 123.0 tx",Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,K5WXI,Farmington,NM,OPEN,,,122.37,S,,35,85,36.7281,-108.218,146.85,146.25,100,100,San Juan,On-Air,Closed autopatch.,NMFCC,,Totah ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,100,K5WY,Farmington,NM,OPEN,,,122.37,S,,35,87,36.7281,-108.218,449,444,100,,San Juan,,E-power.,NMFCC,,K5WY,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.01,-1,131.8,KB5ITS,Farmington,NM,OPEN,,,122.37,S,,35,81,36.7281,-108.218,53.01,52.01,131.8,,San Juan,On-Air,,NMFCC,2017-07-02,KB5ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KB5ITS,Farmington,NM,OPEN,,,122.37,S,,35,84,36.7281,-108.218,146.76,146.16,100,100,San Juan,On-Air,"Closed autopatch, e-power.",NMFCC,2018-01-15,,,http://www.sjcham.com,Full-time to the San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KB5ITS,"Farmington, College Hill",NM,OPEN,,,122.37,S,,35,86,36.7281,-108.218,147,147.6,100,,San Juan,On-Air,"Autopatch, e-power.",NMFCC,2017-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
