Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Coordination,Last update,Uplink Tone,DMR Enabled,Color Code,Wide Network,Coverage,Affiliate,Links,Notes,Web links,Features,EchoLink,Nets,IRLP,Grid,Downlink Tone,DMR ID,IPSC Network,Local Network,Commands,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,On-air,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,AllStar,YSF Digital Enabled,DG-ID,Talkgroup Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Central Regional,Northern Colorado Regional,Feed,WIRES-X,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Colorado,Mountain Reg USA,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Bandwidth,Wyoming,WyLOCAL,Eastern Colorado,TAC 311,Colorado Chat,Location Photo
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,,,17.94,SSW,,08,9702,39.7658,-105.366,927.8375,902.025,,,,Jefferson,On-Air,,CCARC,2018-12-23,,,,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills. Now linked with Almagre 927.7250 for great coverage south,,,The offset is -25.8125,,Linked with Chief 927.9375 &amp; Almagre 927.7250 for wide area coverage,,,,,,,,,,,,,,,,yes,293,yes,,45770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC,W0TX,"Denver, Centennial Cone",CO,OPEN,,D,17.95,SSW,,08,7165,39.7657,-105.366,446.7875,441.7875,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-12-09,,yes,1,,,Brandmeister Network,,,http://www.w0tx.org/,,,,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf. TG's are PTT enabled and will timeout after 15 minutes of inactivity. Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,,18.12,S,,08,143,39.75559998,-105.22100067,448.125,443.125,,,,Jefferson,On-Air,Denver PD EEB,CCARC,2014-04-28,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,,18.12,S,,08,137,39.75559998,-105.22100067,448.975,443.975,,,,Jefferson,On-Air,FRG,CCARC,2019-09-06,123,,,,Wide area.,,,,,Linkable VHF/UHF Remote Base,,,,,,,,,,,,,,,,,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,,18.13,S,,08,7170,39.75550079,-105.22100067,927.7875,902.7875,,,,Jefferson,On-Air,N0PYY,,2017-12-24,156.7,,,,Golden and Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,,18.72,SSW,,08,112,39.7525,-105.358,448.625,443.625,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,100,,,,Denver metro area.,,"Full-time to 145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,DRC Repeaters,E-power.,,DRC: Sun at 20:30.,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,,18.73,SSW,,08,82,39.7525,-105.359,146.985,146.385,,,,Denver,On-Air,El Jebel RADOPS,CCARC,2016-09-05,100,,,,,,,,,E-power.,,RADOPS: Sun at 19:00.,3346,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,18.73,SSW,,08,140,39.7525,-105.359,145.28,144.68,,,,Jefferson,On-Air,,CCARC,2015-05-22,100,,,,Wide area.,,"Full-time to 449.52500 (KE0SJ) at Golden, Centennial Cone, CO .","PL is usually off, allowing use by older transceivers.",Intermountain Repeater Group,"Closed autopatch, e-power, linked.",,Sun at 19:30. Everyone welcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,18.73,SSW,,08,138,39.75249863,-105.35900116,449.525,444.525,,,,Jefferson,On-Air,KE0SJ,CCARC,2015-05-23,CSQ,,,,,,"Full-time to 145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,Intermountain Repeater Group,E-power.,,,,DM79HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,,18.73,SSW,,08,77,39.7525,-105.359,146.64,146.04,,,,Jefferson,On-Air,Denver Radio League,CCARC,2017-03-11,100,,,,Wide area. Repeater Coverage Map,,,8,DRL Repeaters,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.975,-25.9,67,W0SKY,"Golden, Lookout Mountain",CO,OPEN,A,,19.55,S,,08,18156,39.7333,-105.237,927.975,902.0375,,,,Jefferson,On-Air,,,2019-10-05,67,,,,"Denver, Golden",,,,http://www.w0sky.com,AllStar,,,,,67,,,,Standard AllStar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,KE0VH,"Golden, Lookout Mountain",CO,OPEN,,Y,19.56,S,,08,139,39.733,-105.239,449.625,444.625,,,,Jefferson,On-Air,,CCARC,2019-06-19,141.3,,,,,,,,,E-power,,,,,141.3,,,,,,,,,,,,,,Yes; analog capable.,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,D,19.75,S,,08,10939,39.73070145,-105.23300171,145.37,144.77,,,,Jefferson,On-Air,Rocky Mountain Ham Radio,CCARC,2019-11-27,,yes,7,,,,,See the website for programming information. Voice ID is required for data/GPS/text on TG 705,Rocky Mountain Ham Radio,700,,,,DM79JR,,310808,RMHR c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,19.76,S,,08,3739,39.73049927,-105.23300171,145.25,144.65,yes,W0CDS (C) Repeater,jfindu lookup / dstar-users lookup,Jefferson,On-Air,Colorado D-Star,CCARC,2014-01-03,,,,,,,,,Colorado D-Star,,,,,DM79JR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,19.76,S,,08,2769,39.73049927,-105.23300171,446.9625,441.9625,yes,W0CDS (B) Repeater,jfindu lookup / dstar-users lookup,Jefferson,On-Air,Colorado D-Star,CCARC,2017-03-11,,,,,,,,,Colorado D-Star,,,,,DM79JR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
