Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Coordination,Last update,Uplink Tone,DMR Enabled,Color Code,IPSC Network,Wide Network,Features,Downlink Tone,YSF Digital Enabled,DG-ID,Grid,Coverage,IRLP,Nets,Web links,Mixed-Mode,DMR ID,Talkgroups,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network,Worldwide English,North America,Colorado,Affiliate,Commands,Notes,EchoLink,Worldwide,English,Rocky Mountain Wide,Northern Colorado Regional,Links,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,P-25 Digital Enabled,NAC,Default Reflector,Local Network,Bandwidth,AllStar,Feed,WIRES-X,On-air,Southern Colorado,Central Regional,Wyoming,WyLOCAL,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Eastern Colorado,TAC 311,Colorado Chat,Location Photo
146.625,-0.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,35.11,WNW,,08,246,40.61700058,-105.32700348,146.625,146.025,,,,Larimer,On-Air,Northern Colorado ARC,CCARC,2017-03-11,100,,,,,E-power.,100,,,DN70IO,Wide area: Northern front range.,,,,,,,,,,,,,,,,,,,,,,,,"Linkable to 146.85000 (W0UPS) at Greeley, UNC, CO . Linkable to 224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,
224.84,-1.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,35.11,WNW,,08,3660,40.61700058,-105.32700348,224.84,223.24,,,,Larimer,Off-Air,Northern Colorado ARC,,2019-08-23,100,,,,,"E-power, 25 watts.",100,,,,"Wide Area: Northern CO Front Range and into Cheyenne - Laramie, WY",,,,,,,,,,,,,,,,,,,,,,,,"Full-time to 447.70000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25.9,,KI0HC,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,35.15,WNW,,08,18424,40.61669922,-105.32800293,927.875,902.025,,,,Larimer,On-Air,RM Ham,CCARC,2020-01-01,,,,,,,,,,,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,,,,,,,,,,,,,,,,,,,,,,,Full-time to the The 900 P25 Network System .,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,
146.73,-0.6,91.5,K0DK,Boulder,CO,OPEN,E,,37.86,SW,Node Offline,08,15,40.05709839,-105.24299622,146.73,146.13,,,,Boulder,Off-Air,BARC,CCARC,2017-05-02,91.5,,,,,12,91.5,,,DN70jb,Local,,,http://www.ked-wireless.com/products1.htm,,,,,,,,,,,,,,,,115482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,S,38.3,SW,,08,8171,40.03720093,-105.23000336,145.3875,144.7875,yes,KC0DS (C),jfindu lookup / dstar-users lookup,Boulder,On-Air,Boulder County ARES,CCARC,2012-11-12,,,,,,E-power.,,,,,20,,,http://bouldercountyares.org/technical/d-star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.8625,-20,,KC0DS,Boulder,CO,OPEN,,S,38.3,SW,,08,8220,40.03720093,-105.23000336,1283.8625,1263.8625,yes,KC0DS (A) Repeater,jfindu lookup / dstar-users lookup,Boulder,On-Air,Boulder County ARES,CCARC,2013-12-21,,,,,,E-power.,,,,DN70JA,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,123,N0FH,Estes Park,CO,OPEN,EI,,39.29,W,ON - IDLE,08,119,40.36009979,-105.4509964,146.685,146.085,,,,Larimer,On-Air,Estes Valley ARC,CCARC,2017-08-05,123,,,,,E-power.,,,,DN70GI,Estes Valley and east RMNP - some coverage E and SE (Loveland and Denver),7268,ARES D-10: Thu at 19:00.,,,,,,,,,,,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.","Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",625757,,,,,"Full-time to 449.80000 (N0FH) at Estes Park, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,,39.95,SSW,,08,185,39.88560104,-104.98699951,147.045,147.645,,,,Adams,On-Air,Northglenn RA,CCARC,2017-04-10,123,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,,40.03,SSW,,08,26,39.92060089,-105.08599854,448.925,443.925,,,,Boulder,Off-Air,W0LMA,CCARC,2019-06-19,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,,40.03,SSW,,08,266,39.92060089,-105.08599854,449.825,444.825,,,,Boulder,Off-Air,Rocky Mountain Radio League,CCARC,2019-06-19,103.5,,,,,6,,,,,Along the foothills and into Boulder where the 94 repeater is shadowed.,,Colorado WX: Daily at 06:30. RMRL: Mod at 20:30. Astronomy: Tue at 19:00. Amateur Radio Events: Tue at 20:00.,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
