Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Coordination,Last update,YSF Digital Enabled,DG-ID,Features,Mixed-Mode,Web links,D-STAR Enabled,Node,Sources,Grid,Links,Affiliate,EchoLink,IRLP,AllStar,Bandwidth,DMR Enabled,Color Code,IPSC Network,Wide Network,Notes,Nets,Feed,DMR ID,Talkgroups,Rocky Mountain Wide,Southern Colorado,WIRES-X,Location Photo,On-air,Commands,TAC 310,TAC 311,Colorado,Colorado Chat,Local/Cluster,Central Regional,REACT,CO-Park County,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Devilshead Local,Local Network,c-Bridge,Talkgroup Network,Worldwide,North America,English,DCI Bridge,Texas,COMM 1,Texas/Oklahoma Regional USA,Northern Colorado Regional,Europe,Southwest USA
145.115,-0.6,88.5,W0PHC,Pueblo,CO,OPEN,,,75.32,N,,08,191,38.2521019,-104.66200256,145.115,144.515,88.5,,Pueblo,On-Air,,Pueblo Amateur Radio Club,CCARC,2019-12-10,,,E-power.,Yes; analog capable.,http://www.puebloradio.org/,,,,DM78qg,,,,,,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,W,Y,78.24,NE,,08,167,37.99950027,-103.52899933,147.36,147.96,,123,Otero,On-Air,La Junta: U.S. Route 50 CO State Hwy 10 CO State Hwy 109 CO State Hwy 194 U.S. Route 350,,,2018-09-30,yes,Open ↑ / Open ↓,E-power,Yes; analog capable.,,,,,DM87FX,,KC0ITF,,,,,,,,,Digital Wires-X,,,,,,,11360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,,78.86,N,,08,8173,38.30690002,-104.62000275,147,147.6,,,Pueblo,On-Air,,Carl Higbee,CCARC,2014-02-26,,,,,,,,,DM78QH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,,79.35,N,ON - IDLE,08,7994,38.3030014,-104.73400116,448.975,443.975,100,100,Pueblo,On-Air,,,CCARC,2017-03-11,,,,,http://www.k0jsc.com,,,,,Full-time to the The Fun Machine System .,,363976,7301,28368,,,,,,Off air. Will return to service,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,100,N7JNI,Wagon Mound,NM,OPEN,,,81,S,,35,181,36.00889969,-104.70600128,444.4,449.4,100,,Mora,Off-Air,,Mora ARC,NMFCC,2017-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,W0PHC,"Pueblo, Baculite Mesa",CO,OPEN,,,82.49,N,,08,193,38.36240005,-104.55999756,146.79,146.19,88.5,,Pueblo,On-Air,Wide area.,Pueblo Amateur Radio Club,CCARC,2019-12-10,,,E-power.,,Pueblo Amateur Radio Club,,,,DM78ri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,CC 88.5,W0PHC,Pueblo,CO,OPEN,,D,82.49,N,,08,198,38.36240005,-104.55999756,447.95,442.95,88.5,,Pueblo,On-Air,Wide area.,Pueblo Amateur Radio Club,CCARC,2019-12-10,,,E-power.,Yes; analog capable.,Pueblo Amateur Radio Club,,,,DM78ri,,,,,,,yes,0,c Record retrieved from radioid.net,,Dual Mode Analog/DMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,,84.56,N,,08,195,38.39250183,-104.55500031,224.26,222.66,88.5,,Pueblo,Off-Air,Wide area.,Pueblo Ham Club,CCARC,2013-05-07,,,E-power.,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,WB5NJU,Kenton,NM,OPEN,,,84.68,SE,,35,18214,36.90100098,-103.00299835,147.39,147.99,88.5,,Union,On-Air,,,,2019-10-30,,,,,,,,,,,,,,,,,,,,Repeater on the New Mexico - Oklahoma border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,67,NM5ML,"Wagon Mound, Turkey Mountain",NM,OPEN,,,84.85,SSW,,35,11289,35.98429871,-104.90100098,147.2,147.8,67,,Mora,On-Air,,,,2017-01-24,,,8,,http://nm5ml.com/,,,,DM75NX,Full-time to the Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
