Frequency,Offset,Tone     ,Call  ,Location                                         ,ST/PR,Use    ,VOIP,DGTL,Mi   ,Dir,                          ,state_id,ID   ,Latitude,Longitude,Downlink ,Uplink   ,Uplink Tone,County      ,On-air ,Sponsor                                                   ,Features                                                                                             ,Coordination           ,Last update,Downlink Tone,Op Status,Coverage                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Links                                                                                                                                                  ,Notes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Nets                                                                                                                                                    ,DMR Enabled,Color Code,DMR ID,Wide Network,Affiliate                                       ,Web links                                               ,EchoLink,IRLP,Talkgroups                                                                                                                                                                                              ,Rocky Mountain Wide,Northern Colorado Regional,Central Regional,AllStar,YSF Digital Enabled,DG-ID          ,WIRES-X,Commands                                                                                                                                                                                                                                                               ,Feed       ,Grid    ,Mixed-Mode          ,P-25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node                       ,Sources               ,Local Network  ,Bandwidth,Talkgroup Network  ,Worldwide English,North America,DCI Bridge,Local/Cluster,Colorado,N. Colorado,TAC 310,Mountain Reg USA,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,RX Location,Gunbarrel  ,Lousville  ,Lyons      ,Louisville #2,Worldwide,English,Southern Colorado,Devilshead Local,TAC 311,Colorado Chat,Eastern Colorado,Local or Reflector,Kansas,CKRG,KansasLink,Wyoming,WyLOCAL,Location Photo,BYRG
146.73   ,-0.6  ,88.5     ,ND0Q  ,"Walsenburg, N Rattlesnake Butte"                ,CO   ,OPEN   ,    ,    ,199.4,SW ,                          ,08      ,247  ,37.7719 ,-104.456 ,146.73   ,146.13   ,88.5       ,Huerfano    ,       ,Pueblo Ham Club                                           ,6                                                                                                    ,CCARC                  ,2015-04-15 ,             ,On-Air   ,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties."                                                                                                                                                                                                                                                                                                                                                                                                                  ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,                                                ,Pueblo Ham Club                                         ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
147.03   ,0.6   ,123      ,K0ECT ,Dodge City                                       ,KS   ,OPEN   ,    ,    ,199.5,SE ,                          ,20      ,3974 ,37.7528 ,-100.017 ,147.03   ,147.63   ,123        ,Ford        ,       ,SKECT                                                     ,Autopatch                                                                                            ,                       ,2019-09-02 ,             ,On-Air   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,RACES                                                                                                                                                   ,           ,          ,      ,            ,                                                ,                                                        ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
442.375  ,5     ,123      ,K0ECT ,Dodge City                                       ,KS   ,OPEN   ,    ,    ,199.5,SE ,                          ,20      ,4041 ,37.7528 ,-100.017 ,442.375  ,447.375  ,123        ,Ford        ,       ,                                                          ,Autopatch.                                                                                           ,Kansas Repeater Council,2019-09-02 ,             ,On-Air   ,US-50                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,                                                ,                                                        ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
147.09   ,0.6   ,         ,W0EJL ,Burwell                                          ,NE   ,OPEN   ,    ,    ,199.7,NE ,                          ,31      ,12981,41.7817 ,-99.1332 ,147.09   ,147.69   ,           ,Garfield    ,       ,                                                          ,                                                                                                     ,WB0CMC                 ,2017-05-21 ,             ,On-Air   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,                                                ,                                                        ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
147.285  ,0.6   ,162.2    ,AB0UO ,Russell                                          ,KS   ,OPEN   ,    ,    ,200.2,SE ,                          ,20      ,3891 ,38.951  ,-98.761  ,147.285  ,147.885  ,162.2      ,Russell     ,       ,Russell County EM                                         ,E-power (batt/gen).                                                                                  ,Kansas Repeater Council,2018-03-31 ,162.2        ,On-Air   ,Repeater Coverage Map                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Linkable to
444.95000 (AB0UO) at Russell, K-Link, KS .

Linkable to
444.85000 (KS0LNK) at Minneapolis, K-Link, KS ."                                                                                                       ,"CSQ = local only. Link access requires PL 162.2.
Can be linked to K-Link by a control operator."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"ARES: Wed at 21:00.
ARES: Sat at 21:00."                                                                                                                                   ,           ,          ,      ,            ,                                                ,K-Link Repeater Network                                 ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,Listen Live,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
444.95   ,5     ,162.2    ,AB0UO ,"Russell, K-Link"                                ,KS   ,OPEN   ,    ,    ,200.2,SE ,                          ,20      ,3890 ,38.951  ,-98.761  ,444.95   ,449.95   ,162.2      ,Russell     ,       ,Russell County EM                                         ,"K-Link Repeater Network.
E-power"                                                                           ,Kansas Repeater Council,2019-04-13 ,162.2        ,On-Air   ,Click for coverage map.  35 mi radius.                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"Full-time to
442.45000 (N7JYS) at Hays, K-Link, KS .

Linkable to
147.28500 (AB0UO) at Russell, KS .

Full-time to the  K-Link System ."                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,K-Link Repeater System                          ,K-Link Repeater Network                                 ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,Listen Live,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
147.39   ,0.6   ,88.5     ,KB0VJJ,"Breckenridge, Bald Mountain"                    ,CO   ,OPEN   ,    ,    ,203.7,W  ,                          ,08      ,24   ,39.4439 ,-105.969 ,147.39   ,147.99   ,88.5       ,Summit      ,       ,Colorado Connection                                       ,12                                                                                                   ,CCARC                  ,2015-01-30 ,123          ,On-Air   ,Wide area.                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Full-time to the  Colorado Connection System .                                                                                                         ,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-. This machine has a split tone, 88.5 rx and 123.0 tx"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"Central Colorado Traffic Net: Daily at 19:30.
Colorado Connection Net (all welcome): Thu at 20:00.
Statewide ARES: Sun at 20:00."                                                                                                   ,           ,          ,      ,            ,                                                ,Breckenridge Repeater                                   ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
445.0875 ,-5    ,CC7      ,N0SZ  ,"Breckenridge, Baldy"                            ,CO   ,OPEN   ,    ,D   ,204  ,W  ,                          ,08      ,16780,39.459  ,-105.979 ,445.0875 ,440.0875 ,           ,Fremont     ,       ,K2AD                                                      ,                                                                                                     ,                       ,2018-02-01 ,             ,On-Air   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,yes        ,7         ,310830,            ,Rocky Mountain Ham Radio                        ,http://www.rmham.org/                                   ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
147.48   ,0     ,88.5     ,W0WWV ,"Hastings, Hastings Museum"                      ,NE   ,OPEN   ,I   ,    ,205  ,ESE,                          ,31      ,14386,40.5908 ,-98.3903 ,147.48   ,147.48   ,88.5       ,Adams       ,       ,KB0ASQ                                                    ,                                                                                                     ,                       ,2019-01-08 ,88.5         ,Off-Air  ,Hastings Area Simplex IRLP Node                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,Amateur Radio Association of Nebraska           ,http://w0wwv.org/                                       ,        ,3258,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,"No special codes. 4-digits to connect, 73 to disconnect."                                                                                                                                                                                                             ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
443.2    ,5     ,82.5     ,W0WWV ,"Hastings, Hastings Dog-Walk Park"               ,NE   ,OPEN   ,    ,    ,205.7,ESE,                          ,31      ,88   ,40.5742 ,-98.3721 ,443.2    ,448.2    ,82.5       ,Adams       ,       ,                                                          ,                                                                                                     ,WB0CMC                 ,2019-01-08 ,82.5         ,On-Air   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,"Full-time to
444.47500 (W0WWV) at Campbell, Mid-Rivers E911 Dispatch Center, NE ."                                                                                  ,"Normally linked to the W0WWV System. See W0WWV Campbell. For local events, this machine may be isolated, or connected to Hastings IRLP node 3258."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                        ,           ,          ,      ,            ,                                                ,http://w0wwv.org/                                       ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,EN00tn  ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
145.415  ,-0.6  ,123      ,W0CUO ,"Grand Island, Nebraska State Fair"              ,NE   ,OPEN   ,    ,Y   ,205.8,E  ,                          ,31      ,20   ,40.9099 ,-98.4623 ,145.415  ,144.815  ,123        ,Hall        ,       ,Grand Island Amateur Radio Society (GIARS)                ,                                                                                                     ,WB0CMC                 ,2018-01-05 ,             ,On-Air   ,Hall County / Nebraska State Fair                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,                                                ,                                                        ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,yes                ,23             ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,Yes; analog capable.,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
147.525  ,0     ,141.3    ,KC0EQA,"Hastings, NE"                                   ,NE   ,OPEN   ,EA  ,    ,206.4,ESE,ON - In Conference K9NHP-L,31      ,10573,40.5884 ,-98.3626 ,147.525  ,147.525  ,141.3      ,Adams       ,       ,                                                          ,                                                                                                     ,                       ,2019-03-13 ,141.3        ,On-Air   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Nebraska Ragchew Net Tuesdays at 7:30pm                                                                                                                 ,           ,          ,      ,            ,                                                ,http://alertradionebraska.blogspot.com/p/about.html     ,416797  ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,27553  ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
147.36   ,0.6   ,225.7    ,WM0L  ,Ainsworth                                        ,NE   ,OPEN   ,I   ,    ,206.5,NE ,                          ,31      ,4    ,42.492  ,-99.8827 ,147.36   ,147.96   ,225.7      ,Brown       ,       ,WM0L                                                      ,WX radio with alerts.                                                                                ,                       ,2014-04-17 ,225.7        ,On-Air   ,Coverage not as good to the South.  30 mi radius.                                                                                                                                                                                                                                                                                                                                                                                                                               ,Full-time to the  Nebraska Hub System .                                                                                                                ,100                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,Nebraska IRLP Net Sunday night at 8:30 pm local time on 9875 reflector                                                                                  ,           ,          ,      ,            ,                                                ,                                                        ,        ,3142,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
146.7    ,-0.6  ,107.2    ,WB0QMR,Breckenridge                                     ,CO   ,OPEN   ,I   ,    ,206.7,W  ,                          ,08      ,23   ,39.4817 ,-106.038 ,146.7    ,146.1    ,107.2      ,Summit      ,       ,GRARC                                                     ,E-power.                                                                                             ,CCARC                  ,2013-01-07 ,             ,On-Air   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,                                                ,                                                        ,        ,3972,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
