Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Tx Power,Skip,Step,Clock Shift,Comment,User CTCSS
380,146.64000,146.04000,600 kHz,Minus,Auto,PUF Golden Centennial Cone,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,8 77 38.00 CO Jefferson Golden Centennial Cone N0PUF,1500 Hz
381,147.30000,147.90000,600 kHz,Plus,Auto,PYY Evergreen Squaw Mountain,Large,T Sql,103.5 Hz,023,High,Off,Auto,Off,8 84 46.00 CO Clear Creek Evergreen Squaw Mountain N0PYY,1500 Hz
382,146.90000,146.30000,600 kHz,Minus,Auto,QEQ Moab,Large,Tone,88.5 Hz,023,High,Off,Auto,Off,49 48 413.00 UT Grand Moab K7QEQ,1500 Hz
383,146.76000,146.16000,600 kHz,Minus,Auto,QEQ Moab Bald Mesa,Large,Tone,88.5 Hz,023,High,Off,Auto,Off,49 13042 396.00 UT Grand Moab Bald Mesa K7QEQ,1500 Hz
384,147.36000,147.96000,600 kHz,Plus,Auto,QEY Fort Collins CSU Durward Hal,Large,T Sql,100.0 Hz,023,High,Off,Auto,Off,8 125 107.00 CO Larimer Fort Collins CSU Durward Hall W0QEY,1500 Hz
385,146.70000,146.10000,600 kHz,Minus,Auto,QMR Breckenridge,Large,Tone,107.2 Hz,023,High,Off,Auto,Off,8 23 94.00 CO Summit Breckenridge WB0QMR,1500 Hz
386,147.19500,147.79500,600 kHz,Plus,Auto,QXX Cedaredge Cedar Mesa,Large,Tone,118.8 Hz,023,High,Off,Auto,Off,8 3745 268.00 CO Delta Cedaredge Cedar Mesa KC0QXX,1500 Hz
387,146.86500,146.26500,600 kHz,Minus,Auto,R0A Broken Bow,Large,None,100.0 Hz,023,High,Off,Auto,Off,31 10 491.00 NE Custer Broken Bow KR0A,1500 Hz
388,147.06000,147.66000,600 kHz,Plus,Auto,R0A Broken Bow,Large,None,100.0 Hz,023,High,Off,Auto,Off,31 11 491.00 NE Custer Broken Bow KR0A,1500 Hz
389,145.20500,144.60500,600 kHz,Minus,Auto,RCZ Alma,Large,None,100.0 Hz,023,High,Off,Auto,Off,31 6 480.00 NE Harlan Alma KA0RCZ,1500 Hz
390,147.31500,147.91500,600 kHz,Plus,Auto,RCZ Kearney,Large,T Sql,123.0 Hz,023,High,Off,Auto,Off,31 28 513.00 NE Buffalo Kearney KA0RCZ,1500 Hz
391,146.72000,146.12000,600 kHz,Minus,Auto,REL Indianola Indianola Peak,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,49 10229 559.00 UT Sanpete Indianola Indianola Peak WB7REL,1500 Hz
392,146.86000,146.26000,600 kHz,Minus,Auto,REL Monroe Monroe Peak,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,49 106 626.00 UT Sevier Monroe Monroe Peak WB7REL,1500 Hz
393,146.70000,146.10000,600 kHz,Minus,Auto,RON Rawlins,Large,Tone,162.2 Hz,023,High,Off,Auto,Off,56 5791 309.00 WY Carbon Rawlins N7RON,1500 Hz
394,146.94000,146.34000,600 kHz,Minus,Auto,RRZ Grand Junction Black Ridge (,Large,T Sql,107.2 Hz,023,High,Off,Auto,Off,8 151 332.00 CO Mesa Grand Junction Black Ridge (Above Colorado Ntl Monument) W0RRZ,1500 Hz
