Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
40,147.06000,147.66000,600 kHz,+DUP,FM,CSF Borger,None,100.0 Hz,100.0 Hz,023,Both N,Off,48 610 464.00 TX Hutchinson Borger WA5CSF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
41,145.33000,144.73000,600 kHz,-DUP,FM,CSY Albuquerque Sandia Crest,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 16 430.00 NM Bernalillo Albuquerque Sandia Crest W5CSY,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
42,147.04000,147.64000,600 kHz,+DUP,FM,DFQ Spearman,Tone,88.5 Hz,88.5 Hz,023,Both N,Off,48 596 433.00 TX Hansford Spearman N5DFQ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
43,147.34000,147.94000,600 kHz,+DUP,FM,DST Logan Ute Lake,Tone,131.8 Hz,131.8 Hz,023,Both N,Off,35 15643 406.00 NM Quay Logan Ute Lake K5DST,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
44,147.03000,147.63000,600 kHz,+DUP,FM,ECT Dodge City,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,20 3974 435.00 KS Ford Dodge City K0ECT,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
45,146.88000,146.28000,600 kHz,-DUP,FM,EMA Tucumcari,None,100.0 Hz,100.0 Hz,023,Both N,Off,35 176 420.00 NM Quay Tucumcari WA5EMA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
46,146.92000,146.32000,600 kHz,-DUP,FM,ERC Albuquerque,Tone,67.0 Hz,67.0 Hz,023,Both N,Off,35 6939 451.00 NM Bernalillo Albuquerque KF5ERC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
47,146.61000,146.01000,600 kHz,-DUP,FM,FGD Rock Springs Aspen Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,56 11 466.00 WY Sweetwater Rock Springs Aspen Mountain KE7FGD,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
48,146.90000,146.30000,600 kHz,-DUP,FM,FIQ Albuquerque Op Ctr,Tone,67.0 Hz,67.0 Hz,023,Both N,Off,35 38 450.00 NM Bernalillo Albuquerque Op Ctr K5FIQ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
49,147.06000,147.66000,600 kHz,+DUP,FM,FIQ Clines Corners Tapia Mesa,Tone,67.0 Hz,67.0 Hz,023,Both N,Off,35 60 429.00 NM San Miguel Clines Corners Tapia Mesa K5FIQ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
50,147.36000,147.96000,600 kHz,+DUP,FM,FLO Chadron Nebraska National Fo,T Sql,123.0 Hz,123.0 Hz,023,Both N,Off,31 12643 455.00 NE Dawes Chadron Nebraska National Forest W0FLO,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
51,145.49000,144.89000,600 kHz,-DUP,FM,HEN Vernal Grizzly Ridge,Tone,136.5 Hz,136.5 Hz,023,Both N,Off,49 24 453.00 UT Uintah Vernal Grizzly Ridge K7HEN,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
